tweet,sentiment
"a pior coisa é acordar e saber que você se foi, meu coração está de luto... 🖤 Mamãe vai te amar apara sempre meu amor, mamãe vai sentir sua falta minha vida🖤... Que deus faça de você o anjo mais lindo que ele tem no céu... 🖤
Meu filho, meu menininho, meu Spaker🖤😭
 https://t.co/pIFou6mWYJ",-1
Ninguém me quer porque votei nulo https://t.co/DxBHN6CoMm,-1
não da pra dormir nesse fandom mais pqp devo ter perdido o surto,-1
"Se tem uma coisa que me deixa mt desestabilizada é acordar tendo crise de ansiedade, to com medo, uma sensação que algo ruim vai acontecer...dor no peito e angústia. Sei lá, tá foda. 
#ansiedade",-1
Alguém esqueceu de namorar comigo kkkkkk https://t.co/FaAWDQURoo,-1
"Vídeo polêmico do esposo da Ivete.
https://t.co/8jwQcH80UB.
Assistam! #bomdia #twitter #reginacasé
 demãe #globo #novela #bbb21 #esposodaivete",-1
por sair da junção sem meus ávio pra completa a coleção @Polly_pocket00,-1
Queria saber o que faz uma pessoa que conversa normalmente no whatsapp com vc te ignorar em outra rede social?!?!?! #bomdia #duvidas,-1
faz 2h que eu fui dormir e eu já tive que acordar hoje estou,-1
Ela era baixinha tao linda #depressao,-1
"@BolsonaroSP @jairbolsonaro Os bolsonaristas vivem em um mundo paralelo 🤦🏽‍♀️.
 
#Patético
#Vaitrabalhar",-1
@spangledturner me sentindo #desamparada,-1
Foda quando vc gosta de alguém e ela nem reage ao seu story,-1
"É verdade isso @Bancointer , e eu que falava tão bem de vocês 💔 
#BolsonaroGenocida https://t.co/vbt6ZntRnN",-1
"@tonytheboy_ aff, eu estava esperando pela AK em sua gameplay Antônio, mas infelizmente não poderia vê-la no dia de hoje efetuando vários disparos contra os inimigos.",-1
Ninguem p eu dedicar a música talismã,-1
@Ednaldo68437010 passou e nem me chamou,-1
as únicas pessoas que eu converso estão off faz tempo https://t.co/OyPDOTLKnW,-1
ele n respondeu meu stories dizendo q quer ver o sol nascer na minha janela,-1
"Mais triste do que lembrar minha infância e ver a pessoa que me tornei, é cada retuitte do #DMXforever",-1
eu falo isso todo dia vcs já devem até ter cansado d mim né https://t.co/I9I0GoYgdp,-1
sextou sem ela,-1
Ai credo que cena triste,-1
"@dearmel @anapanzenhagen HAHAHAHAHAH
Bom, mas pelo menos tão marcando alguém, ao contrário de mim..........",-1
@AnselBloom Caralho tem até racionamento de pixels.,-1
@ContaTio @duartebtw voce nunca me deu NADA,-1
As pessoas não sabem o quanto as palavras machucam!,-1
@levivivefeliz lei lu q q no lo pone,-1
ngm apoia minha era clean.... https://t.co/JbM3nkk7m8,-1
"@lizi_snt @vuanjitor Meu deus nem me fale cara perdi o insta, e vai demorar pra ter vontade de criar outro kkkkk toma no cu fazer td de novo af",-1
Como só fui conhecer o #ismaelivo no dia de sua morte? #fustrada #homemanimal #arte #dança #amei #Covid_19 #mortes #perdas #pandemia #lamentavel #sepuderfiqueemcasa #tomevacina #laveasmãos #cuidemos,-1
fico com uma notícia dessas,-1
@glaxwhorld eu aqui com as suas ativadas👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/HnLmOUYcPP,-1
Tentei fazer uma compra no @OutbackBrasil pelo @iFood com cartão @alelobrasil mas não foi aceita 😰 Liguei no @alelobrasil e fui informada de que está tudo correto com o cartão. Então a inconsistência parece ser do @ifood ! #chateada 😔😰,-1
"Profetiza Igreja! “Eu indico o Dr. Jairinho, servo de Deus”. Com a palavra, a irmã (cantora Gospel) Elaine Martins. #meninohenry #HenryBorel #elainemartins https://t.co/OywhvdIwoH",-1
"Um príncipe morreu, e não foi enforcado nas tripas de um sacerdote, #chateada #ripprincephilip",-1
Só queria ela bebendo umas cervejas cmg hj,-1
"Muito triste com o que aconteceu ao menino Henry. Que Deus o receba em seus braços e enxugue as lágrimas do pai e demais familiares que aqui ficaram.
#Henry #luto za https://t.co/hlSPRVvbu5",-1
Peso do crl na mochila e num chego em casa,-1
@CelDiv2018 Tô chocadaa pq João agiu https://t.co/2iwiknKPkT o @gilnogueiraofc Gil nunca c quer mencionou votar em João pois eh de o mínimo de poder e vc conhecerá a pessoa decepção #Joaobbb21,-1
@guedesyo ego mto elevado 🤣,-1
minha amiga so tira cm a minha cara,-1
Viver e morrer era para ser uma escolha ✅ #brail,-1
@ninahit1 Concordo João tá c achando d mais,-1
@EdwardSttyles Obrigado,-1
até amanhã,-1
@laricrib pois é e não é do jeito q eu gosto hahaha,-1
to pq o Finneas n tem todo o reconhecimento que ele merece 🤧🤧,-1
@promodelivro a minha também deu erro,-1
"Tão passando longe de conseguir romper a linha que divide o povo, Nova Independência está em decadência infelizmente.",-1
Procurando uma moeda de 25 centavos no chão. Olhando para o horizonte e pensando na moeda que nunca encontrou https://t.co/Uz6HFXns5o,-1
"Gosto que me contem a verdade;
Eu decido se doi ou não.💔
 #amizade #💔",-1
"Um príncipe morreu, e não foi enforcado nas tripas de um sacerdote, #chateada #ripprincephilip",-1
"Profetiza Igreja! “Eu indico o Dr. Jairinho, servo de Deus”. Com a palavra, a irmã (cantora Gospel) Elaine Martins. #meninohenry #HenryBorel #elainemartins https://t.co/OywhvdIwoH",-1
qria um local pra passear com minhas bolsas novas #decreto #qriapiriguetar,-1
"Profetiza Igreja! “Eu indico o Dr. Jairinho, servo de Deus”. Com a palavra, a irmã (cantora Gospel) Elaine Martins. #meninohenry #HenryBorel #elainemartins https://t.co/OywhvdIwoH",-1
Você me odeia? @ssarahandrade,-1
"S.O.S de cadelinha no bairro do #Ibura em #Recife, quem quiser ajudar, por favor, entrar em contato com os números da imagem. 

Estamos vivenciando um período de #pandemia e os #animais cujos não têm culpa, estão sendo jogados nas ruas como #lixos. #Revolta #Odio https://t.co/h7Zzo9p9wh",-1
"Se a vida é como uma roda gigante, eu não me lembro se já estive por cima😕
#Desanimada 
 
#semfénofuturo",-1
-Estar pra mim é comer em dobro!,-1
É triste imaginar que os pais que tem que amar e cuidar. São capazes de fazer isso. Não entra na minha cabeça. #Revoltante https://t.co/rRuiJ9pxCR,-1
@leticiafer_s Só não dá moral pra mim 😳✊🏻😔,-1
"Mas ainda existem ""dirigentes"" achando que no Brasil o futebol pode seguir normalmente!! Quanto desrespeito!! #vergonha 👇🏿 https://t.co/zlKqRlaWTq",-1
"@Wanderley Mas ""vale dizer"" que os cartolas são irresponsáveis seu Wanderley!! Isso é um absurdo!! Mortes e mais mortos e o futebol vivendo um mundo egoísta paralelo!! #vidasimportam",-1
O Brasil precisa de penas mais duras para crimes como esse do Henry. Que Jairinhos e outros assassinos frios fiquem o resto da vida na cadeia!,-1
"Como vou desejar feliz aniversário, pra minha tia, se ontem ela perdeu a mãe de covid. 😭",-1
UM FATO: a putaria é muito mais sincera que o amor.,-1
O Brasil precisa de penas mais duras para crimes como esse do Henry. Que Jairinhos e outros assassinos frios fiquem o resto da vida na cadeia!,-1
"@Brups4 dia, pq bom só seria se eu tivesse o Lys do meu lado za #trevas",-1
#luto príncipe Philip faleceu. tadinho era uma pessoa tão vivida.,-1
@somiabrega affff apagaram o querida amiga estou,-1
"essa noite sonhei que tinha achado 3 @ no meio das minhas roupas, acordei fui procura, tinha nada... 😔",-1
"As vezes acho que o #X1 foi só coisa da minha imaginação 

 Foram injustiçados demais https://t.co/a3D1xL5Mt3",-1
Tudo o que eu mais queria era comer aquele temaki (que vai ser bem provável que nunca mais vou comer),-1
nossa essa eh,-1
"a vida é um sopro, aproveitem.
#frases",-1
"Ô saudades da minha infância, não encontro mais esses seios. #racismo #humor za #infancia https://t.co/E7WHGpafrZ",-1
"Eu tento ajudar a Thainá mas ela quer tatuar um foguinho na bunda sabe, é muito complicado.....",-1
caralho mano que chatooo hahahaha 😓,-1
"Eu ajudei, eu fui lá, eu tava no início. E hoje nem sou lembrada. Ingratidão. Essa é a recompensa.",-1
"Quando o mundo parece desabar na nossa vida...
A solidão é a única companhia 🙁
#ansiedade",-1
"@JovemPanNews @augustosnunes Muito fácil ver e chorar ao ANALISAR as duas faces de uma mesma moeda !! A este post fraco e raso teremos os esquerdistas e direitistas degladiando. Eu vejo apenas incoerência e, para quem poderia ter influência positiva, uma servidão !!",-1
que vida e #solitaria,-1
@LucasFariasViza infelizmente a nossa sociedade prefere um emo,-1
porque no me anda el wifi para ver videos de lenny tavárez :(,-1
"depressão profunda, se um dia eu sorri n me lembro
 #chateadinha #naofeliz",-1
Deve ser horrível você ficar mandando indireta para uma pessoa só porque ela tem uma opinião diferente de você,-1
"@FreireJuliette Ela tem que ter mais foco nas provas ! Eu torço muito por ela, mas ela precisa se ajudar. Desse jeito é paredão na terça",-1
Cheio de montagem zuando o Cerro Porteño e o São Paulo não apareceu em nenhuma https://t.co/zPDkTCsMJQ,-1
"Detalhe, antes de pegar a caixa minha mãe não queria deixar eu comer mais, pois já tinha devorada uma outra caixa (tô com compulsividade). Minha mãe ainda vai rir da minha cara... #desolada",-1
OOC. meu cabelo é bem cacheadinho ##,-1
"Farto desta sociedade fútil e oca, que só sabe mostrar o corpo para fama, fazer diretos no insta sem conteúdo algum, vir para as redes mostrar uma vida perfeita, quando a realidade é triste. Podemos voltar tipo, uns 10 anos atrás sff? Imagino o futuro🤦🏻‍♂️ #sociedade",-1
A Giovanna já me tirou dos planos dos rolê dela,-1
"@ssarahandrade Mami eu #teamo e vc só me #ignora, ai eu fico",-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
"Nossa a nota de 200 reais flopou muito né, nunca tive uma.",-1
acabei de ver o comercial da @riachuelo e ainda não vi nenhuma notificação da @riachuelo me seguindo,-1
eles sendo boiolas na minha tml to,-1
nao mas faz sei lá uns 3 dias q tô tomando o remédio e já to perdendo a capacidade de fazer oq eu faço de melhor que eh comer,-1
queria falar com alguém #depressao #chateada #morrequepassa,-1
"@UWANTHlS Maicozuido era icônico véi,",-1
"Pior q traição, é sair toma una cervejinha e nem me convidar",-1
Brasília nesta quinta-feira (8/4) apresentou 100% dos leitos adultos ocupados e mais de 250 doentes na fila esperando por um leito. #fundodopoço,-1
@contcha_ é mais lindo com o meu grupo de friends do coraçaum mas vocês deixaram-me sozinha e abandonada nesta jornada...,-1
"realidade, que fazer um homem sem noção??? https://t.co/Ym7WhDvqN9",-1
"Twitter fica me dando indicações, quero ser amigo de vocês não pow. #friends #alone",-1
"@jojeritos Todo mundo queeeem? Hahahaha
Funcionários das emissoras Globo não podem.",-1
@RodSalldanha Verdade meu amigo ! Impossível se acostumar com tanta crueldade.,-1
"@bibiadb @JJ0SUKE mas pelo q tem nem comentarios foi ela nao, kd essa mule terminando nana jesus amado",-1
"@FoxSportsBrasil Meu querido @Cruzeiro nem estaria na lista..., a menos que inclua o Orkut. Sabe..., já fez sucesso, tem história, mas hj não incomoda ninguém.",-1
"Meu celular morreu, não consigo resetar e é Sony.
DETALHE: A Sony encerrou suas atividades comerciais no Brasil em Março de 2021, estamos em 08/04/2021. ÓTIMO dia para zinimiga #Socorro #SonyBrasil",-1
"Parem de chamar esse assassino de doutor 

 
#QuintaDetremuraSDV",-1
"ñ tô preparada p 19 anos, da p permanecer nos 18 p smp ñ??????",-1
Boa noite pra quem perdeu todos os contatos,-1
"Antes de se envolver, você precisa entender que a sua prioridade deveria ser seu príncipe ou no meu caso a minha princesinha,o que da na cabeça do ser humano pra matar crianças?
#muitorevoltante",-1
@samuwilson80 @neymarjrdepre poxa ce deixou a juju,-1
Nem isso Mais eu posso .. https://t.co/JAVfh3WKGv,-1
ai que demora agora queria ter sido da primeira chamada #arrependida #errosacontecem,-1
"O Padre João Paulo n merecia isso pagando pelos erros da mãe. Que horrível,chocada!!! 💔💔💔😭😭😭 #TriunfoDoAmor104",-1
"Farto desta sociedade fútil e oca, que só sabe mostrar o corpo para fama, fazer diretos no insta sem conteúdo algum, vir para as redes mostrar uma vida perfeita, quando a realidade é triste. Podemos voltar tipo, uns 10 anos atrás sff? Imagino o futuro🤦🏻‍♂️ #sociedade",-1
"@NetflixBrasil, vocês liberam novas temporadas desse monte de seriados teen idiotas e nada de Stranger Things...",-1
"SOFRIMENTO 

🥀😔Henry sangrou por dentro de tanto apanhar e ficou comprovado que essa irresponsável chamada de “mãe” sabia das agressões do padrasto,sabia o tanto que Henry apanhava,mas por ele ser político conseguiu trocar o salário dela de 4 mil para 16 mil.
 https://t.co/Nf3vjESrBI",-1
@rafacrvg20 @Fall_Farias As pessoas estão cada vez piorando mais e apodrecendo o pouco de amor e pureza q ainda resta dentro delas 😔💔,-1
"Farto desta sociedade fútil e oca, que só sabe mostrar o corpo para fama, fazer diretos no insta sem conteúdo algum, vir para as redes mostrar uma vida perfeita, quando a realidade é triste. Podemos voltar tipo, uns 10 anos atrás sff? Imagino o futuro🤦🏻‍♂️ #sociedade",-1
"Só mais um dia como os outros 
 #fudida #merda",-1
"Farto desta sociedade fútil e oca, que só sabe mostrar o corpo para fama, fazer diretos no insta sem conteúdo algum, vir para as redes mostrar uma vida perfeita, quando a realidade é triste. Podemos voltar tipo, uns 10 anos atrás sff? Imagino o futuro🤦🏻‍♂️ #sociedade",-1
"Porém, as pessoas querem ser mais curtidas do que curtirem",-1
"#tbt de frases que nunca mais ouvi🥺😩

 https://t.co/EGsEPz29ew",-1
@belloli980 @Rubenssouzam @LucasdoVerdao @crfThm @UOLEsporte E entrou na justiça pra não pagar 5 mil aravas famílias dos meninos que assassinou ...,-1
Coisa triste de ver esse caso do menino Henry... Muito triste! Como existe seres humanos tão cruéis?! Teve um padrasto monstro e a mãe nem se fala... Existem mães e MÃES! #casohenry #lamentavel,-1
"@NetflixBrasil, vocês liberam novas temporadas desse monte de seriados teen idiotas e nada de Stranger Things...",-1
"Farto desta sociedade fútil e oca, que só sabe mostrar o corpo para fama, fazer diretos no insta sem conteúdo algum, vir para as redes mostrar uma vida perfeita, quando a realidade é triste. Podemos voltar tipo, uns 10 anos atrás sff? Imagino o futuro🤦🏻‍♂️ #sociedade",-1
a gente só toma no cu e ainda leva hate o dia todo https://t.co/nOOkgqmefd,-1
sonhei que tava namorado acordei,-1
"@NetflixBrasil, vocês liberam novas temporadas desse monte de seriados teen idiotas e nada de Stranger Things...",-1
#BalançoGeralRJ essa mulher não deve ser chamada de mãe. #casohenry,-1
A pior coisa que podemos fazer e confiar na honestidade dos outros,-1
@CNNBrasil Medo desses ser humano q tristeza essa mulher q pra mim ñ é mãe apoia essa maldade com o próprio filho de mais,-1
Que a justiça seja feita essa mulher ñ deve ser chamada de mãe #casoHenry,-1
"Sinto uma tristeza tão profunda quando vejo meu irmão falar que é Flamenguista... Porra, lelé um pai sinistro deixa uma coisa dessa acontecer...",-1
"Sonhei com a pessoa que eu amo, quando acordei descobri que ela vai casar.😥

#sad",-1
"@RafaelMottaRN Precisamos urgentemente voltar aulas presenciais, nossos estudantes já estão indo para o segundo ano, sem aulas! https://t.co/xuXgWRMaMB",-1
"@arocha01 @RMPoficial Como se isso fosse defeito somente do Flamengo.

Peguemos os últimos campeonatos e a média de gols de falta. 

O problema é que parece que ninguém treina, acreditam que o dom de bater na bola resolva.",-1
"Tadinha da madame, ela nem pode usar a miséria e a fome do povo para minimizar racismo e atacar o movimento negro em paz.

Vidinha sofrida essa 😞 https://t.co/R5gX1KDsf0",-1
Um país onde é comum ver pela televisão gente PASSANDO FOME E MORANDO NA RUA,-1
@oarthurigor E neste período de isolamento social aumentou muito o número de suicídios diários no Brasil. E pouco se fala sobre isso.,-1
"essa conta vai ser usada com um local pra desabar 
 #depressão",-1
#tbt #inesquecível - O assassinato da Fernanda (da nossa senhora com a Duvivier) mostra quão desumano se tornou o ser humano. https://t.co/hzkEz4mxUz,-1
@PIPOCAENANQUIM O que um voto não faz....,-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
"@arthurmoledoval @FMouraBrasil Coerente??? É sério isso? Q tristeza cara!!! À fim decadente vc, @MBLivre e também o @FMouraBrasil estão tendo. Aliás... Se estivesse do lado certo, obviamente teria ganho a prefeitura dê SP, mas... Felizmente o povo vê quem realmente é coerente! !",-1
"Pensando aqui, que deixei um latão dentro do congelador...",-1
o bicho com 2.4k de atq mas sem artefato bom o suficiente pra deixar ele dando uma linha boa de ataques https://t.co/nNyuiIil8k,-1
@gugachacra Não acredito que seria necessário isso .. apenas termos um Presidente consciente da atual situação do MUNDO .. e mais #UNIÃO no Brasil .. quando vejo que podemos ter Bolsonaro x Lula em 2022 entendo que o Brasil tb está entubado na UTI .... #pobrebrasil,-1
"Amanhã sorteio dos grupos da Libertadores e nosso presidente ""Eduardo Uran"" não anuncia nenhum reforço vindo do Tombense!!!",-1
Contando os dias sem saber quantos faltam pra essa porra acabar,-1
slc uma senhora aqui foi super grossa cmg falo q n sei atender q sou novato slc... 😔,-1
"Acordei muito triste hj, alguém conversa comigo... 
mas tem que ser pelo pix ✨",-1
"Muito triste essa noticia do menino #henryborel como uma mãe se submete a essa situação. Que fiquem presos e mofem na cadeia. 
 #canalhas #casohenryborel",-1
Shingeki no Kiojin chegou ao fim e não era o final que eu esperava,-1
"As vezes eu olho pra minha família e penso que vim esse mundo a passeio, pq mano, cada um tem um dom diferente. Um sabe desenhar, a outra cozinhar, minha mãe costurar, crochê... e eu? Único dom que eu tenho é me lascar perfeitamente, em qualquer área da vida kkkkkkkk 😂",-1
"EU SOU DAQUELAS QUE ASSISTE .. #VIBRANDO .. TORCENDO .. ME ENVOLVO MESMO .. TORÇO DEMAIS .. FICO #TRISTE .. #ALEGRE .. 
NÃO CONSIGO FICAR APÁTICA ..
INFELIZMENTE .. ATÉ PORQUE AS VEZES CHEGA Á FAZER MAL .. 
MAS SOU AQUELA #BBB MANÍACA MESMO .. RAÍZ ..
DAQUELAS QUE ATÉ #SOFREM 😩",-1
mais uma amg q nao gosta do orochinho https://t.co/GlgZ1AydZw https://t.co/mYwM1pGtkX,-1
"Do que adianta tá esse friozinho gostoso, se o yoongi N tá aqui pra me esquentar.... :(",-1
"Tadinha da madame, ela nem pode usar a miséria e a fome do povo para minimizar racismo e atacar o movimento negro em paz.

Vidinha sofrida essa 😞 https://t.co/R5gX1KDsf0",-1
"Tadinha da madame, ela nem pode usar a miséria e a fome do povo para minimizar racismo e atacar o movimento negro em paz.

Vidinha sofrida essa 😞 https://t.co/R5gX1KDsf0",-1
"Tadinha da madame, ela nem pode usar a miséria e a fome do povo para minimizar racismo e atacar o movimento negro em paz.

Vidinha sofrida essa 😞 https://t.co/R5gX1KDsf0",-1
@analuizxa bloquearam a minha conta tbm,-1
vou dormir,-1
"Tadinha da madame, ela nem pode usar a miséria e a fome do povo para minimizar racismo e atacar o movimento negro em paz.

Vidinha sofrida essa 😞 https://t.co/R5gX1KDsf0",-1
kkkkkkk eu ********* c *** e *** n **** ou n ****,-1
ngm pra usar metadinha https://t.co/urBUkVGLju,-1
Ficar andando de carro da uma saudade do meu,-1
@annavicm Mano tem um vídeo da rafa e da ivy se não me engano falando mal do xampu do ano passado KKKKKKK ESSE É MTO BOM TB ai a globo cortou,-1
@brokenplacebo @chanjilix errei na minha deducao #Dwpressiva ..,-1
indo dormir,-1
Sabe oq é foda ? Ngm tem recaída por mim,-1
"E hoje a noite se faz mais escura, partiu um dos corações mais sem frescura, uma pessoa que sempre nos fez rir, que Deus te receba meu amigo véi Juvandir... 😭😭😭😭

#luto #descanseempaz https://t.co/djWkHNfppz",-1
@samaraschwarzer A gente só da valor dps que perde né kkk,-1
"queria tanto ver o filme ""as crônicas de Nárnia"" mas n tem na Netflix 😥",-1
"O problema não é o @bbb ou seus participantes, o programa é genial e seus participantes merecem todos os aplausos, o problema real é o Brasil atualmente ser 8 ou 80 e desmoralizar todas as outras infinitas possibilidades. #BBB21 #BigBrotherBrasil #bbb",-1
@mns_hyunsuk poxa hyunsuk.... e tu tava lá? nem pra me chamar,-1
"Mas achei q pegaram pesado com o cantor. Afinal de contas, não foi assim com Lumena, Karol, Projota, q foram até voluntariamente cruéis com pessoas dentro casa. @ANAMARIABRAGA",-1
"#cansada
 
Tomar minhas injeções e apagar..",-1
Não entendo o covi-d 19 está ai matando o povo e o povo com a cara limpa querendo sair.,-1
hora de escuchar pov slowed nd reverb pq #depresivo #roto,-1
Vem ai a nova novela da Globo. Império... do Racismo. Quase todos os atores são brancos e os pretos são estereotipados. #imperio #globo #racismo #imperiodocloro #bbb21,-1
O FODA É Q EU N RECEBI A BOLSA ESSE MÊS AAAAAAAAAAAAAAAAAAAAAA :( https://t.co/DjYHX1yEEM,-1
Muita gente querida partindo antes do planejado!,-1
Mais um conhecido morreu de covid!,-1
Ouvir músicas antigas só me da a certeza de que nasci no século errado.,-1
"A Julia se demitiu, caralho 
Vou almoçar/rir/conversar/zoar com quem agora",-1
"@kribshna @qdberenice Poxa amiga infelizmente eu não faço parte do número de pessoas que beija #muito o vc voltou
Por está razão quem namora beija mais",-1
Tudo que eu queria hoje era um cupom de frete grátis da @westwingbr ☹️,-1
"Meu irmão, que desânimo pra estudar, ler, assitir, escrever, pensar. Não tem como terceirizar minhas obrigações.",-1
Sabe oq é foda ? Ngm tem recaída por mim,-1
"Só queria alguém pra me ensinar a jogar League of Legends...
 #LeagueOfLegends https://t.co/tmX8qIdLlK",-1
e ela é interessante e bonita mas queria algo mais pessoal nao sei,-1
@Enaldinho1 eu nunca nem ganhei,-1
"@taesuga_ot7 @PJMD4NG3R_ @yarlovesjkk @_Luaaaaaaaaaaaa @Ibmaygalaxy nem vemmmm, que o negócio falou que vc era casada com a pessoa duas vezes e eu era a filha
#alone",-1
Agora toda vida meu pai viaja e nem me avisa,-1
"carente de carinho 
 rsrs 😞",-1
"@luannrangel cara a cara com o goleiro define melhor que o Mbappé,",-1
@_esterfm Ele foi 1 ou 2 jogos kkkk,-1
@Hendiquis @MateusRemus Nao achei ele de gremio,-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
@ljmfv Amg meu engajamento ta tão ruim to me sentindo,-1
"@SF_Moro ADÃO, JON LENON, PRINCIPE HARRY E SÉRGIO MOURO: FORAM OUVIR A MUIÉ E SÓ SE FERRARAM... #TRISTE",-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
"😢
Márcio Baby, ex-zagueiro do Fluminense, que foi baleado e estava no CTI infelizmente faleceu
O ex-jogador estava com a esposa em uma padaria na Vila da Penha, quando houve uma tentativa de assalto

 
#fluminense 
#luto https://t.co/GVHAH6I0PZ",-1
@bertoldi_paula @medindoug Ótimo! não sabia!!!! (vão aqui na minha terra e não da pra ir no estádio ver....,-1
fui diagnosticado com: morrendo de sdd de dar uns beijinho por aí 😔🤝,-1
@Melzinledur melhor que 12,-1
#Noticias #televisao #UOL #Brasil 👉 Fontes UOL NOTÍCIAS 👉 ABC NEWS 👉 TV Austráliana https://t.co/dWudMmjErV,-1
me sentindo vou ir estudar 👏🏼,-1
@joiodotrigo_ @quel_srodrigues Criticando as obras de Deus 😓,-1
Obituário nos jornais deixou de ser uma coluna pra vivar página inteira...,-1
"@SF_Moro ADÃO, JON LENON, PRINCIPE HARRY E SÉRGIO MOURO: FORAM OUVIR A MUIÉ E SÓ SE FERRARAM... #TRISTE",-1
com a vids de ponta cabeca!😀😀,-1
"@STF_oficial @TVJustica @RadioJustica Metros lotados e ônibus também,pessoas sofrendo e o STF impedindo as pessoas de exercerem sua fé reunidos com todas as normas de segurança nas igrejas..só pode se for de metrô né ?!!! Hipocrisia não tem limites",-1
nunca mais respondo os tweets de ngm me disseram q estou parecendo uma mãe 🥺🥺🥺🥺😔😔😔 #bbb #vihtube,-1
